CHAR_TYPE_CD,EFFDT,ET_ZONE,VALUE,MONTH,YEAR
ETZONE,1/31/2018 0:0:0,3,0.11,1,2018
ETZONE,1/31/2018 0:0:0,2,0.12,1,2018
ETZONE,2/1/2018 0:0:0,2,0.12,2,2018
ETZONE,2/1/2018 0:0:0,1,0.1,2,2018
ETZONE,2/1/2018 0:0:0,3,0.12,2,2018
ETZONE,2/2/2018 0:0:0,3,0.11,2,2018
ETZONE,2/2/2018 0:0:0,2,0.12,2,2018
ETZONE,2/2/2018 0:0:0,1,0.1,2,2018
ETZONE,2/3/2018 0:0:0,1,0.1,2,2018
ETZONE,2/3/2018 0:0:0,2,0.12,2,2018
ETZONE,2/3/2018 0:0:0,3,0.12,2,2018
ETZONE,2/4/2018 0:0:0,2,0.12,2,2018
ETZONE,2/4/2018 0:0:0,1,0.1,2,2018
ETZONE,2/4/2018 0:0:0,3,0.11,2,2018
ETZONE,2/5/2018 0:0:0,3,0.11,2,2018
ETZONE,2/5/2018 0:0:0,2,0.11,2,2018
ETZONE,2/5/2018 0:0:0,1,0.11,2,2018
ETZONE,2/6/2018 0:0:0,3,0.1,2,2018
ETZONE,2/6/2018 0:0:0,1,0.09,2,2018
ETZONE,2/6/2018 0:0:0,2,0.09,2,2018
ETZONE,2/7/2018 0:0:0,3,0.13,2,2018
ETZONE,2/7/2018 0:0:0,1,0.11,2,2018
ETZONE,2/7/2018 0:0:0,2,0.13,2,2018
ETZONE,2/8/2018 0:0:0,3,0.12,2,2018
ETZONE,2/8/2018 0:0:0,1,0.11,2,2018
ETZONE,2/8/2018 0:0:0,2,0.14,2,2018
ETZONE,2/9/2018 0:0:0,1,0.11,2,2018
ETZONE,2/9/2018 0:0:0,3,0.1,2,2018
ETZONE,2/9/2018 0:0:0,2,0.12,2,2018
ETZONE,2/10/2018 0:0:0,1,0.05,2,2018
ETZONE,2/10/2018 0:0:0,3,0.05,2,2018
ETZONE,2/10/2018 0:0:0,2,0.07,2,2018
ETZONE,2/11/2018 0:0:0,2,0.11,2,2018
ETZONE,2/11/2018 0:0:0,3,0.1,2,2018
